	seqid	source	exon_type	start	end	length	homology	strand	phase	attributes	substring
875	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	fine	709	893.0	184.0	100.0	+	.	GRA_OG0031626	substring_1
876	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	intron	894	1125.0	232.0	0.0	+	.	GRA_OG0031626	substring_1
877	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	fine	1126	1341.0	215.0	100.0	+	.	GRA_OG0031626	substring_1
878	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	intron	1342	2166.0	825.0	0.0	+	.	GRA_OG0031626	substring_1
879	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	fine	2167	2210.0	43.0	100.0	+	.	GRA_OG0031626	substring_1
880	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	intron	2211	2663.0	453.0	0.0	+	.	GRA_OG0031626	substring_1
881	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	fine	2664	2763.0	99.0	100.0	+	.	GRA_OG0031626	substring_1
882	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	intron	2764	3812.0	1049.0	0.0	+	.	GRA_OG0031626	substring_1
883	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	fine	3813	3920.0	107.0	100.0	+	.	GRA_OG0031626	substring_1
884	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	intron	3921	4313.0	393.0	0.0	+	.	GRA_OG0031626	substring_1
885	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	fine	4314	4344.0	30.0	100.0	+	.	GRA_OG0031626	substring_1
886	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	intron	4345	8502.0	4158.0	0.0	+	.	GRA_OG0031626	substring_1
887	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	fine	8503	8681.0	178.0	100.0	+	.	GRA_OG0031626	substring_1
888	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	intron	8682	9168.0	487.0	0.0	+	.	GRA_OG0031626	substring_1
889	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	fine	9169	9260.0	91.0	100.0	+	.	GRA_OG0031626	substring_1
890	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	intron	9261	10714.0	1454.0	0.0	+	.	GRA_OG0031626	substring_1
891	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	fine	10715	10837.0	122.0	100.0	+	.	GRA_OG0031626	substring_1
892	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	intron	10838	11017.0	180.0	0.0	+	.	GRA_OG0031626	substring_1
893	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	fine	11018	11081.0	63.0	100.0	+	.	GRA_OG0031626	substring_1
894	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	intron	11082	11931.0	850.0	0.0	+	.	GRA_OG0031626	substring_1
895	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	fine	11932	11998.0	66.0	100.0	+	.	GRA_OG0031626	substring_1
896	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	intron	11999	15570.0	3572.0	0.0	+	.	GRA_OG0031626	substring_1
897	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	fine	15571	15644.0	73.0	98.65	+	.	GRA_OG0031626	substring_1
898	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	intron	15645	16135.0	491.0	0.0	+	.	GRA_OG0031626	substring_1
899	GRA_SL+_TRINITY_DN37862_c0_g1_i10	+	fine	16136	16324.0	188.0	99.47	+	.	GRA_OG0031626	substring_1
900	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	200	337.0	137.0	99.28	+	.	GRA_OG0031656	substring_1
901	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	intron	338	677.0	340.0	0.0	+	.	GRA_OG0031656	substring_1
902	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	678	837.0	159.0	98.12	+	.	GRA_OG0031656	substring_1
903	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	intron	838	2487.0	1650.0	0.0	+	.	GRA_OG0031656	substring_1
904	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	2488	2527.0	39.0	100.0	+	.	GRA_OG0031656	substring_1
905	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	intron	2528	3214.0	687.0	0.0	+	.	GRA_OG0031656	substring_1
906	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	3215	3285.0	70.0	98.59	+	.	GRA_OG0031656	substring_1
907	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	intron	3286	3746.0	461.0	0.0	+	.	GRA_OG0031656	substring_1
908	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	3747	3918.0	171.0	100.0	+	.	GRA_OG0031656	substring_1
909	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	intron	3919	4187.0	269.0	0.0	+	.	GRA_OG0031656	substring_1
910	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	4188	4258.0	70.0	100.0	+	.	GRA_OG0031656	substring_1
911	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	intron	4259	4654.0	396.0	0.0	+	.	GRA_OG0031656	substring_1
912	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	4655	4742.0	87.0	98.86	+	.	GRA_OG0031656	substring_1
913	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	intron	4743	5316.0	574.0	0.0	+	.	GRA_OG0031656	substring_1
914	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	5317	5461.0	144.0	97.24	+	.	GRA_OG0031656	substring_1
915	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	intron	5462	6569.0	1108.0	0.0	+	.	GRA_OG0031656	substring_1
916	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	6570	6637.0	67.0	98.53	+	.	GRA_OG0031656	substring_1
917	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	intron	6638	7338.0	701.0	0.0	+	.	GRA_OG0031656	substring_1
918	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	7339	7471.0	132.0	99.25	+	.	GRA_OG0031656	substring_1
919	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	intron	7472	8543.0	1072.0	0.0	+	.	GRA_OG0031656	substring_1
920	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	8544	8666.0	122.0	99.19	+	.	GRA_OG0031656	substring_1
921	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	intron	8667	8981.0	315.0	0.0	+	.	GRA_OG0031656	substring_1
922	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	8982	9061.0	79.0	98.75	+	.	GRA_OG0031656	substring_1
923	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	intron	9062	10902.0	1841.0	0.0	+	.	GRA_OG0031656	substring_1
924	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	10903	11006.0	103.0	98.08	+	.	GRA_OG0031656	substring_1
925	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	intron	11007	13081.0	2075.0	0.0	+	.	GRA_OG0031656	substring_1
926	GRA_SL+_TRINITY_DN37884_c0_g2_i1	+	fine	13082	13311.0	229.0	100.0	+	.	GRA_OG0031656	substring_1
927	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	4398	4641.0	243.0	100.0	+	.	GRA_OG0030317	substring_1
928	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	4642	4949.0	308.0	0.0	+	.	GRA_OG0030317	substring_1
929	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	4950	5115.0	165.0	100.0	+	.	GRA_OG0030317	substring_1
930	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	5116	5747.0	632.0	0.0	+	.	GRA_OG0030317	substring_1
931	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	5748	5833.0	85.0	100.0	+	.	GRA_OG0030317	substring_1
932	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	5834	5962.0	129.0	0.0	+	.	GRA_OG0030317	substring_1
933	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	5963	6042.0	79.0	100.0	+	.	GRA_OG0030317	substring_1
934	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	6043	6753.0	711.0	0.0	+	.	GRA_OG0030317	substring_1
935	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	6754	6874.0	120.0	100.0	+	.	GRA_OG0030317	substring_1
936	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	6875	7249.0	375.0	0.0	+	.	GRA_OG0030317	substring_1
937	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	7250	7327.0	77.0	98.72	+	.	GRA_OG0030317	substring_1
938	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	7328	8152.0	825.0	0.0	+	.	GRA_OG0030317	substring_1
939	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	8153	8319.0	166.0	99.4	+	.	GRA_OG0030317	substring_1
940	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	8320	9052.0	733.0	0.0	+	.	GRA_OG0030317	substring_1
941	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	9053	9184.0	131.0	97.73	+	.	GRA_OG0030317	substring_1
942	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	9185	9949.0	765.0	0.0	+	.	GRA_OG0030317	substring_1
943	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	9950	10077.0	127.0	100.0	+	.	GRA_OG0030317	substring_1
944	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	intron	10078	10343.0	266.0	0.0	+	.	GRA_OG0030317	substring_1
945	GRA_SL+_TRINITY_DN37966_c0_g1_i2	+	fine	10344	10755.0	411.0	99.27	+	.	GRA_OG0030317	substring_1
946	GRA_SL+_TRINITY_DN38024_c3_g1_i1	+	fine	20913	21005.0	92.0	100.0	+	.	GRA_OG0032767	substring_1
947	GRA_SL+_TRINITY_DN38024_c3_g1_i1	+	intron	21006	21914.0	909.0	0.0	+	.	GRA_OG0032767	substring_1
948	GRA_SL+_TRINITY_DN38024_c3_g1_i1	+	fine	21915	21984.0	69.0	98.57	+	.	GRA_OG0032767	substring_1
949	GRA_SL+_TRINITY_DN38024_c3_g1_i1	+	intron	21985	22539.0	555.0	0.0	+	.	GRA_OG0032767	substring_1
950	GRA_SL+_TRINITY_DN38024_c3_g1_i1	+	fine	22540	22597.0	57.0	100.0	+	.	GRA_OG0032767	substring_1
951	GRA_SL+_TRINITY_DN38024_c3_g1_i1	+	intron	22598	23074.0	477.0	0.0	+	.	GRA_OG0032767	substring_1
952	GRA_SL+_TRINITY_DN38024_c3_g1_i1	+	fine	23075	23207.0	132.0	100.0	+	.	GRA_OG0032767	substring_1
953	GRA_SL+_TRINITY_DN38024_c3_g1_i1	+	intron	23208	23519.0	312.0	0.0	+	.	GRA_OG0032767	substring_1
954	GRA_SL+_TRINITY_DN38024_c3_g1_i1	+	fine	23520	23651.0	131.0	100.0	+	.	GRA_OG0032767	substring_1
955	GRA_SL+_TRINITY_DN38024_c3_g1_i1	+	intron	23652	23992.0	341.0	0.0	+	.	GRA_OG0032767	substring_1
956	GRA_SL+_TRINITY_DN38024_c3_g1_i1	+	fine	23993	24093.0	100.0	100.0	+	.	GRA_OG0032767	substring_1
957	GRA_SL+_TRINITY_DN38024_c3_g1_i1	+	intron	24094	24918.0	825.0	0.0	+	.	GRA_OG0032767	substring_1
958	GRA_SL+_TRINITY_DN38024_c3_g1_i1	+	fine	24919	24994.0	75.0	100.0	+	.	GRA_OG0032767	substring_1
959	GRA_SL+_TRINITY_DN38113_c2_g1_i2	+	fine	200	328.0	128.0	96.9	+	.	GRA_OG0031343	substring_1
960	GRA_SL+_TRINITY_DN38113_c2_g1_i2	+	intron	329	1024.0	696.0	0.0	+	.	GRA_OG0031343	substring_1
961	GRA_SL+_TRINITY_DN38113_c2_g1_i2	+	fine	1025	1137.0	112.0	100.0	+	.	GRA_OG0031343	substring_1
962	GRA_SL+_TRINITY_DN38113_c2_g1_i2	+	intron	1138	1517.0	380.0	0.0	+	.	GRA_OG0031343	substring_1
963	GRA_SL+_TRINITY_DN38113_c2_g1_i2	+	fine	1518	1583.0	65.0	100.0	+	.	GRA_OG0031343	substring_1
964	GRA_SL+_TRINITY_DN38113_c2_g1_i2	+	intron	1584	3045.0	1462.0	0.0	+	.	GRA_OG0031343	substring_1
965	GRA_SL+_TRINITY_DN38113_c2_g1_i2	+	fine	3046	3140.0	94.0	100.0	+	.	GRA_OG0031343	substring_1
966	GRA_SL+_TRINITY_DN38113_c2_g1_i2	+	intron	3141	4203.0	1063.0	0.0	+	.	GRA_OG0031343	substring_1
967	GRA_SL+_TRINITY_DN38113_c2_g1_i2	+	fine	4204	4249.0	45.0	100.0	+	.	GRA_OG0031343	substring_1
968	GRA_SL+_TRINITY_DN38113_c2_g1_i2	+	intron	4250	4952.0	703.0	0.0	+	.	GRA_OG0031343	substring_1
969	GRA_SL+_TRINITY_DN38113_c2_g1_i2	+	fine	4953	5041.0	88.0	100.0	+	.	GRA_OG0031343	substring_1
970	GRA_SL+_TRINITY_DN38113_c2_g1_i2	+	intron	5042	6672.0	1631.0	0.0	+	.	GRA_OG0031343	substring_1
971	GRA_SL+_TRINITY_DN38113_c2_g1_i2	+	fine	6673	6761.0	88.0	100.0	+	.	GRA_OG0031343	substring_1
972	GRA_SL+_TRINITY_DN38154_c3_g1_i5	+	fine	1520	1587.0	67.0	98.53	+	.	GRA_OG0032538	substring_1
973	GRA_SL+_TRINITY_DN38154_c3_g1_i5	+	intron	1588	2210.0	623.0	0.0	+	.	GRA_OG0032538	substring_1
974	GRA_SL+_TRINITY_DN38154_c3_g1_i5	+	fine	2211	2265.0	54.0	100.0	+	.	GRA_OG0032538	substring_1
975	GRA_SL+_TRINITY_DN38154_c3_g1_i5	+	intron	2266	2690.0	425.0	0.0	+	.	GRA_OG0032538	substring_1
976	GRA_SL+_TRINITY_DN38154_c3_g1_i5	+	fine	2691	2753.0	62.0	100.0	+	.	GRA_OG0032538	substring_1
977	GRA_SL+_TRINITY_DN38154_c3_g1_i5	+	intron	2754	3296.0	543.0	0.0	+	.	GRA_OG0032538	substring_1
978	GRA_SL+_TRINITY_DN38154_c3_g1_i5	+	fine	3297	3378.0	81.0	98.78	+	.	GRA_OG0032538	substring_1
979	GRA_SL+_TRINITY_DN38193_c10_g1_i1	+	fine	16179	16276.0	97.0	98.98	+	.	GRA_OG0030539	substring_1
980	GRA_SL+_TRINITY_DN38193_c10_g1_i1	+	intron	16277	16994.0	718.0	0.0	+	.	GRA_OG0030539	substring_1
981	GRA_SL+_TRINITY_DN38193_c10_g1_i1	+	fine	16995	17115.0	120.0	97.52	+	.	GRA_OG0030539	substring_1
982	GRA_SL+_TRINITY_DN38193_c10_g1_i1	+	intron	17116	18326.0	1211.0	0.0	+	.	GRA_OG0030539	substring_1
983	GRA_SL+_TRINITY_DN38193_c10_g1_i1	+	fine	18327	18396.0	69.0	97.14	+	.	GRA_OG0030539	substring_1
984	GRA_SL+_TRINITY_DN38193_c10_g1_i1	+	intron	18397	19013.0	617.0	0.0	+	.	GRA_OG0030539	substring_1
985	GRA_SL+_TRINITY_DN38193_c10_g1_i1	+	fine	19014	19128.0	114.0	100.0	+	.	GRA_OG0030539	substring_1
986	GRA_SL+_TRINITY_DN38231_c0_g1_i2	+	fine	200	334.0	134.0	98.52	+	.	GRA_OG0032845	substring_1
987	GRA_SL+_TRINITY_DN38231_c0_g1_i2	+	intron	335	761.0	427.0	0.0	+	.	GRA_OG0032845	substring_1
988	GRA_SL+_TRINITY_DN38231_c0_g1_i2	+	fine	762	878.0	116.0	100.0	+	.	GRA_OG0032845	substring_1
989	GRA_SL+_TRINITY_DN38231_c0_g1_i2	+	intron	879	1216.0	338.0	0.0	+	.	GRA_OG0032845	substring_1
990	GRA_SL+_TRINITY_DN38231_c0_g1_i2	+	fine	1217	1288.0	71.0	100.0	+	.	GRA_OG0032845	substring_1
991	GRA_SL+_TRINITY_DN38231_c0_g1_i2	+	intron	1289	2178.0	890.0	0.0	+	.	GRA_OG0032845	substring_1
992	GRA_SL+_TRINITY_DN38231_c0_g1_i2	+	fine	2179	2289.0	110.0	95.5	+	.	GRA_OG0032845	substring_1
993	GRA_SL+_TRINITY_DN38231_c0_g1_i2	+	intron	2290	3119.0	830.0	0.0	+	.	GRA_OG0032845	substring_1
994	GRA_SL+_TRINITY_DN38231_c0_g1_i2	+	fine	3120	3189.0	69.0	98.57	+	.	GRA_OG0032845	substring_2
995	GRA_SL+_TRINITY_DN38231_c0_g1_i2	+	intron	3190	3439.0	250.0	0.0	+	.	GRA_OG0032845	substring_2
996	GRA_SL+_TRINITY_DN38231_c0_g1_i2	+	fine	3440	3522.0	82.0	96.39	+	.	GRA_OG0032845	substring_2
997	GRA_SL+_TRINITY_DN38231_c0_g1_i2	+	intron	3523	3802.0	280.0	0.0	+	.	GRA_OG0032845	substring_2
998	GRA_SL+_TRINITY_DN38231_c0_g1_i2	+	fine	3803	4039.0	236.0	97.89	+	.	GRA_OG0032845	substring_2
999	GRA_SL+_TRINITY_DN38235_c1_g2_i3	+	fine	2068	2102.0	34.0	100.0	+	.	GRA_OG0032742	substring_1
1000	GRA_SL+_TRINITY_DN38235_c1_g2_i3	+	intron	2103	2510.0	408.0	0.0	+	.	GRA_OG0032742	substring_1
1001	GRA_SL+_TRINITY_DN38235_c1_g2_i3	+	fine	2511	2782.0	271.0	98.53	+	.	GRA_OG0032742	substring_1
1002	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	fine	5728	5864.0	136.0	100.0	+	.	GRA_OG0032436	substring_1
1003	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	intron	5865	6240.0	376.0	0.0	+	.	GRA_OG0032436	substring_1
1004	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	fine	6241	6331.0	90.0	100.0	+	.	GRA_OG0032436	substring_1
1005	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	intron	6332	7519.0	1188.0	0.0	+	.	GRA_OG0032436	substring_1
1006	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	fine	7520	7565.0	45.0	100.0	+	.	GRA_OG0032436	substring_1
1007	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	intron	7566	8257.0	692.0	0.0	+	.	GRA_OG0032436	substring_1
1008	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	fine	8258	8323.0	65.0	100.0	+	.	GRA_OG0032436	substring_1
1009	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	intron	8324	8489.0	166.0	0.0	+	.	GRA_OG0032436	substring_1
1010	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	fine	8490	8596.0	106.0	100.0	+	.	GRA_OG0032436	substring_1
1011	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	intron	8597	9516.0	920.0	0.0	+	.	GRA_OG0032436	substring_1
1012	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	fine	9517	9589.0	72.0	100.0	+	.	GRA_OG0032436	substring_1
1013	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	intron	9590	11528.0	1939.0	0.0	+	.	GRA_OG0032436	substring_1
1014	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	fine	11529	11648.0	119.0	100.0	+	.	GRA_OG0032436	substring_1
1015	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	intron	11649	12805.0	1157.0	0.0	+	.	GRA_OG0032436	substring_1
1016	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	fine	12806	12852.0	46.0	100.0	+	.	GRA_OG0032436	substring_1
1017	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	intron	12853	13119.0	267.0	0.0	+	.	GRA_OG0032436	substring_1
1018	GRA_SL+_TRINITY_DN38270_c1_g1_i4	+	fine	13120	13305.0	185.0	97.85	+	.	GRA_OG0032436	substring_1
1019	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	3856	3916.0	60.0	96.72	+	.	GRA_OG0030333	substring_1
1020	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	3917	4379.0	463.0	0.0	+	.	GRA_OG0030333	substring_1
1021	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	4380	4421.0	41.0	100.0	+	.	GRA_OG0030333	substring_1
1022	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	4422	5342.0	921.0	0.0	+	.	GRA_OG0030333	substring_1
1023	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	5343	5431.0	88.0	97.75	+	.	GRA_OG0030333	substring_1
1024	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	5432	9203.0	3772.0	0.0	+	.	GRA_OG0030333	substring_1
1025	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	9204	9278.0	74.0	100.0	+	.	GRA_OG0030333	substring_1
1026	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	9279	11552.0	2274.0	0.0	+	.	GRA_OG0030333	substring_1
1027	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	11553	11660.0	107.0	99.07	+	.	GRA_OG0030333	substring_1
1028	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	11661	13000.0	1340.0	0.0	+	.	GRA_OG0030333	substring_1
1029	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	13001	13042.0	41.0	100.0	+	.	GRA_OG0030333	substring_1
1030	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	13043	13636.0	594.0	0.0	+	.	GRA_OG0030333	substring_1
1031	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	13637	13779.0	142.0	100.0	+	.	GRA_OG0030333	substring_1
1032	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	13780	14556.0	777.0	0.0	+	.	GRA_OG0030333	substring_1
1033	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	14557	14631.0	74.0	100.0	+	.	GRA_OG0030333	substring_1
1034	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	14632	15165.0	534.0	0.0	+	.	GRA_OG0030333	substring_1
1035	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	15166	15252.0	86.0	100.0	+	.	GRA_OG0030333	substring_1
1036	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	15253	16250.0	998.0	0.0	+	.	GRA_OG0030333	substring_1
1037	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	16251	16344.0	93.0	98.94	+	.	GRA_OG0030333	substring_1
1038	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	16345	17891.0	1547.0	0.0	+	.	GRA_OG0030333	substring_1
1039	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	17892	17983.0	91.0	98.91	+	.	GRA_OG0030333	substring_1
1040	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	intron	17984	19016.0	1033.0	0.0	+	.	GRA_OG0030333	substring_1
1041	GRA_SL+_TRINITY_DN38279_c4_g1_i1	+	fine	19017	19127.0	110.0	99.1	+	.	GRA_OG0030333	substring_1
1042	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	fine	5818	5934.0	116.0	98.29	+	.	GRA_OG0032732	substring_1
1043	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	intron	5935	6790.0	856.0	0.0	+	.	GRA_OG0032732	substring_1
1044	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	fine	6791	6834.0	43.0	100.0	+	.	GRA_OG0032732	substring_1
1045	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	intron	6835	7506.0	672.0	0.0	+	.	GRA_OG0032732	substring_1
1046	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	fine	7507	7605.0	98.0	98.99	+	.	GRA_OG0032732	substring_1
1047	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	intron	7606	7970.0	365.0	0.0	+	.	GRA_OG0032732	substring_1
1048	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	fine	7971	8045.0	74.0	98.67	+	.	GRA_OG0032732	substring_1
1049	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	intron	8046	9101.0	1056.0	0.0	+	.	GRA_OG0032732	substring_1
1050	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	fine	9102	9189.0	87.0	100.0	+	.	GRA_OG0032732	substring_1
1051	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	intron	9190	9667.0	478.0	0.0	+	.	GRA_OG0032732	substring_1
1052	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	fine	9668	9728.0	60.0	100.0	+	.	GRA_OG0032732	substring_1
1053	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	intron	9729	10521.0	793.0	0.0	+	.	GRA_OG0032732	substring_1
1054	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	fine	10522	10670.0	148.0	97.99	+	.	GRA_OG0032732	substring_1
1055	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	intron	10671	10964.0	294.0	0.0	+	.	GRA_OG0032732	substring_1
1056	GRA_SL+_TRINITY_DN38372_c1_g2_i1	+	fine	10965	11070.0	105.0	98.11	+	.	GRA_OG0032732	substring_1
1057	GRA_SL+_TRINITY_DN38384_c0_g1_i1	+	fine	5364	5437.0	73.0	98.65	+	.	GRA_OG0032460	substring_1
1058	GRA_SL+_TRINITY_DN38384_c0_g1_i1	+	intron	5438	6345.0	908.0	0.0	+	.	GRA_OG0032460	substring_1
1059	GRA_SL+_TRINITY_DN38384_c0_g1_i1	+	fine	6346	6475.0	129.0	100.0	+	.	GRA_OG0032460	substring_1
1060	GRA_SL+_TRINITY_DN38384_c0_g1_i1	+	intron	6476	9651.0	3176.0	0.0	+	.	GRA_OG0032460	substring_1
1061	GRA_SL+_TRINITY_DN38384_c0_g1_i1	+	fine	9652	9753.0	101.0	98.04	+	.	GRA_OG0032460	substring_1
1062	GRA_SL+_TRINITY_DN38384_c0_g1_i1	+	intron	9754	10297.0	544.0	0.0	+	.	GRA_OG0032460	substring_1
1063	GRA_SL+_TRINITY_DN38384_c0_g1_i1	+	fine	10298	10359.0	61.0	100.0	+	.	GRA_OG0032460	substring_1
1064	GRA_SL+_TRINITY_DN38384_c0_g1_i1	+	intron	10360	11646.0	1287.0	0.0	+	.	GRA_OG0032460	substring_1
1065	GRA_SL+_TRINITY_DN38384_c0_g1_i1	+	fine	11647	11942.0	295.0	97.64	+	.	GRA_OG0032460	substring_1
1066	GRA_SL+_TRINITY_DN38479_c4_g1_i1	+	fine	830	877.0	47.0	95.83	+	.	GRA_OG0031905	substring_1
1067	GRA_SL+_TRINITY_DN38479_c4_g1_i1	+	intron	878	1316.0	439.0	0.0	+	.	GRA_OG0031905	substring_1
1068	GRA_SL+_TRINITY_DN38479_c4_g1_i1	+	fine	1317	1460.0	143.0	100.0	+	.	GRA_OG0031905	substring_1
1069	GRA_SL+_TRINITY_DN38479_c4_g1_i1	+	intron	1461	4276.0	2816.0	0.0	+	.	GRA_OG0031905	substring_1
1070	GRA_SL+_TRINITY_DN38479_c4_g1_i1	+	fine	4277	4395.0	118.0	100.0	+	.	GRA_OG0031905	substring_1
1071	GRA_SL+_TRINITY_DN38479_c4_g1_i1	+	intron	4396	4706.0	311.0	0.0	+	.	GRA_OG0031905	substring_1
1072	GRA_SL+_TRINITY_DN38479_c4_g1_i1	+	fine	4707	4777.0	70.0	98.59	+	.	GRA_OG0031905	substring_1
