seqid	source	exon_type	start	end	length	homology	GC	strand	phase	attributes	substring
GRA_SL-_TRINITY_DN43181_c2_g1_i6	-	intron	967	12312	11346	0.0	47.84	-	.	GRA_OG0031188	substring_1
GRA_SL-_TRINITY_DN43181_c2_g1_i6	-	fine	12313	12426	114	99.12	61.4	-	.	GRA_OG0031188	substring_1
GRA_SL-_TRINITY_DN43181_c2_g1_i6	-	intron	12427	12640	214	0.0	46.26	-	.	GRA_OG0031188	substring_1
GRA_SL-_TRINITY_DN43181_c2_g1_i6	-	fine	12641	12669	29	100.0	41.38	-	.	GRA_OG0031188	substring_1
GRA_SL-_TRINITY_DN43181_c2_g1_i6	-	intron	12670	15069	2400	0.0	46.88	-	.	GRA_OG0031188	substring_1
GRA_SL-_TRINITY_DN43181_c2_g1_i6	-	fine	15070	15312	243	99.59	51.85	-	.	GRA_OG0031188	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	fine	200	300	101	98.02	54.46	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	intron	301	383	83	0.0	71.08	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	fine	384	413	30	100.0	50.0	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	intron	414	1094	681	0.0	45.52	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	fine	1095	1164	70	100.0	57.14	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	intron	1165	1904	740	0.0	53.78	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	fine	1905	2040	136	100.0	63.24	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	intron	2041	2749	709	0.0	44.15	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	fine	2750	2838	89	98.88	62.92	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	intron	2839	4362	1524	0.0	50.98	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	fine	4363	4448	86	100.0	55.81	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	intron	4449	6023	1575	0.0	48.57	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	fine	6024	6092	69	100.0	65.22	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	intron	6093	6458	366	0.0	46.72	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	fine	6459	6488	30	100.0	66.67	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	intron	6489	6695	207	0.0	57.97	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN40130_c3_g1_i1	+	fine	6696	7011	316	99.37	58.23	+	.	GRA_OG0031189	substring_1
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	fine	1202	1250	49	100.0	61.22	+	.	GRA_OG0031190	substring_1
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	intron	1251	1904	654	0.0	57.19	+	.	GRA_OG0031190	substring_1
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	fine	1905	1924	20	100.0	90.0	+	.	GRA_OG0031190	substring_1
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	fine	2014	2066	53	94.34	60.38	+	.	GRA_OG0031190	substring_2
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	intron	2067	4069	2003	0.0	49.93	+	.	GRA_OG0031190	substring_2
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	fine	4070	4103	34	100.0	73.53	+	.	GRA_OG0031190	substring_2
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	intron	4104	4273	170	0.0	73.53	+	.	GRA_OG0031190	substring_2
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	fine	4274	4363	90	100.0	66.67	+	.	GRA_OG0031190	substring_2
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	fine	9027	9099	73	97.26	69.86	+	.	GRA_OG0031190	substring_3
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	intron	9100	9321	222	0.0	61.71	+	.	GRA_OG0031190	substring_3
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	fine	9322	9469	148	97.3	66.89	+	.	GRA_OG0031190	substring_3
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	intron	9470	10164	695	0.0	53.96	+	.	GRA_OG0031190	substring_3
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	fine	10165	10350	186	97.31	71.51	+	.	GRA_OG0031190	substring_3
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	intron	10351	11363	1013	0.0	48.96	+	.	GRA_OG0031190	substring_3
GRA_SL+_TRINITY_DN44486_c0_g5_i1	+	fine	11364	11493	130	97.69	72.31	+	.	GRA_OG0031190	substring_3
GRA_SL+_TRINITY_DN40703_c0_g2_i2	+	fine	1055	1260	206	94.17	63.11	+	.	GRA_OG0031199	substring_1
GRA_SL+_TRINITY_DN40703_c0_g2_i2	+	fine	1266	1308	43	100.0	51.16	+	.	GRA_OG0031199	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	fine	199	372	174	99.43	81.61	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	intron	373	970	598	0.0	60.2	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	fine	971	1124	154	100.0	71.43	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	intron	1125	1858	734	0.0	47.28	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	fine	1859	1961	103	99.03	65.05	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	intron	1962	2259	298	0.0	66.78	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	fine	2260	2312	53	100.0	69.81	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	intron	2313	3149	837	0.0	47.19	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	fine	3150	3218	69	100.0	68.12	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	intron	3219	3676	458	0.0	57.42	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	fine	3677	3723	47	100.0	68.09	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	intron	3724	4560	837	0.0	55.68	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	fine	4561	4590	30	100.0	60.0	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	fine	4594	4634	41	100.0	65.85	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	fine	4639	4697	59	93.22	64.41	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	intron	4698	5574	877	0.0	40.02	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN45490_c1_g1_i1	+	fine	5575	5710	136	97.79	71.32	+	.	GRA_OG0031200	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	fine	312	527	216	97.69	50.0	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	intron	528	1635	1108	0.0	46.57	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	fine	1636	1812	177	98.31	59.89	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	intron	1813	2163	351	0.0	39.32	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	fine	2164	2315	152	98.68	50.0	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	intron	2316	3637	1322	0.0	41.53	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	fine	3638	3761	124	98.39	48.39	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	intron	3762	5106	1345	0.0	37.32	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	fine	5107	5181	75	100.0	45.33	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	intron	5182	5641	460	0.0	50.87	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	fine	5642	5826	185	98.92	61.08	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	intron	5827	6590	764	0.0	47.77	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	fine	6591	6689	99	100.0	54.55	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	intron	6690	6774	85	0.0	55.29	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	fine	6775	6887	113	97.35	63.72	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	intron	6888	7116	229	0.0	47.6	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	fine	7117	7305	189	100.0	57.67	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	intron	7306	7633	328	0.0	38.11	+	.	GRA_OG0031202	substring_1
GRA_SL+_TRINITY_DN38505_c0_g1_i1	+	fine	7634	7809	176	98.3	53.98	+	.	GRA_OG0031202	substring_1
GRA_SL-_TRINITY_DN48973_c1_g2_i2	-	fine	3344	3409	66	95.45	62.12	-	.	GRA_OG0031212	substring_1
GRA_SL-_TRINITY_DN48973_c1_g2_i2	-	intron	3410	3663	254	0.0	45.28	-	.	GRA_OG0031212	substring_1
GRA_SL-_TRINITY_DN48973_c1_g2_i2	-	fine	3664	3807	144	98.61	64.58	-	.	GRA_OG0031212	substring_1
GRA_SL-_TRINITY_DN48973_c1_g2_i2	-	intron	3808	4030	223	0.0	60.09	-	.	GRA_OG0031212	substring_1
GRA_SL-_TRINITY_DN48973_c1_g2_i2	-	fine	4031	4236	206	97.57	56.31	-	.	GRA_OG0031212	substring_1
GRA_SL-_TRINITY_DN48973_c1_g2_i2	-	fine	4252	4389	138	99.28	47.1	-	.	GRA_OG0031212	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	200	252	53	100.0	47.17	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	253	1071	819	0.0	33.82	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	1072	1225	154	98.7	49.35	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	1226	2381	1156	0.0	44.81	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	2382	2481	100	100.0	48.0	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	2482	4120	1639	0.0	44.54	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	4121	4291	171	100.0	71.35	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	4292	4957	666	0.0	60.06	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	4958	5000	43	100.0	51.16	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	5001	5795	795	0.0	47.3	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	5796	5865	70	100.0	64.29	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	5866	6160	295	0.0	53.56	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	6161	6207	47	100.0	38.3	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	6208	6498	291	0.0	40.21	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	6499	6601	103	99.03	47.57	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	6602	7422	821	0.0	46.29	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	7423	7587	165	100.0	74.55	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	7588	10356	2769	0.0	45.14	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	10357	10521	165	100.0	58.79	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	10522	10916	395	0.0	52.41	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	10917	11066	150	100.0	67.33	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	11067	13895	2829	0.0	41.6	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	13896	13999	104	100.0	55.77	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	14000	15330	1331	0.0	47.93	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	15331	15415	85	100.0	54.12	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	15416	15701	286	0.0	37.06	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	15702	15834	133	100.0	51.13	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	15835	16590	756	0.0	38.49	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	16591	16819	229	100.0	61.14	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	16820	17384	565	0.0	51.33	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	17385	17554	170	99.41	65.29	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	17555	17815	261	0.0	63.6	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	17816	17934	119	100.0	68.91	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	17935	18151	217	0.0	50.69	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	18152	18198	47	100.0	61.7	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	18199	18282	84	0.0	65.48	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	18283	18400	118	100.0	68.64	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	18401	18645	245	0.0	45.71	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	18646	18671	26	100.0	73.08	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	18672	18969	298	0.0	53.02	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	18970	19090	121	100.0	58.68	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	intron	19091	19317	227	0.0	40.97	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN45618_c2_g1_i3	+	fine	19318	19508	191	99.48	53.4	+	.	GRA_OG0031216	substring_1
GRA_SL+_TRINITY_DN43196_c9_g5_i3	+	fine	200	393	194	100.0	68.04	+	.	GRA_OG0031219	substring_1
GRA_SL+_TRINITY_DN43196_c9_g5_i3	+	intron	394	1694	1301	0.0	59.65	+	.	GRA_OG0031219	substring_1
GRA_SL+_TRINITY_DN43196_c9_g5_i3	+	fine	1695	1802	108	100.0	77.78	+	.	GRA_OG0031219	substring_1
GRA_SL+_TRINITY_DN43196_c9_g5_i3	+	intron	1803	2028	226	0.0	56.19	+	.	GRA_OG0031219	substring_1
GRA_SL+_TRINITY_DN43196_c9_g5_i3	+	fine	2029	2130	102	98.04	72.55	+	.	GRA_OG0031219	substring_1
GRA_SL+_TRINITY_DN43196_c9_g5_i3	+	intron	2131	2624	494	0.0	51.21	+	.	GRA_OG0031219	substring_1
GRA_SL+_TRINITY_DN43196_c9_g5_i3	+	fine	2625	2867	243	99.59	69.14	+	.	GRA_OG0031219	substring_1
GRA_SL+_TRINITY_DN43196_c9_g5_i3	+	intron	2868	3645	778	0.0	49.49	+	.	GRA_OG0031219	substring_1
GRA_SL+_TRINITY_DN43196_c9_g5_i3	+	fine	3646	3670	25	100.0	52.0	+	.	GRA_OG0031219	substring_1
GRA_SL+_TRINITY_DN43196_c9_g5_i3	+	intron	3671	3737	67	0.0	77.61	+	.	GRA_OG0031219	substring_1
GRA_SL+_TRINITY_DN43196_c9_g5_i3	+	fine	3738	3820	83	98.8	72.29	+	.	GRA_OG0031219	substring_1
GRA_SL+_TRINITY_DN43196_c9_g5_i3	+	intron	3821	4096	276	0.0	46.38	+	.	GRA_OG0031219	substring_1
GRA_SL+_TRINITY_DN43196_c9_g5_i3	+	fine	4097	4167	71	100.0	66.2	+	.	GRA_OG0031219	substring_1
GRA_SL+_TRINITY_DN35310_c0_g1_i2	+	fine	2692	2783	92	97.83	45.65	+	.	GRA_OG0031220	substring_1
GRA_SL+_TRINITY_DN35310_c0_g1_i2	+	intron	2784	4399	1616	0.0	29.15	+	.	GRA_OG0031220	substring_1
GRA_SL+_TRINITY_DN35310_c0_g1_i2	+	fine	4400	4450	51	100.0	56.86	+	.	GRA_OG0031220	substring_1
GRA_SL+_TRINITY_DN35310_c0_g1_i2	+	intron	4451	4836	386	0.0	40.93	+	.	GRA_OG0031220	substring_1
GRA_SL+_TRINITY_DN35310_c0_g1_i2	+	fine	4837	4921	85	100.0	50.59	+	.	GRA_OG0031220	substring_1
GRA_SL+_TRINITY_DN35310_c0_g1_i2	+	intron	4922	5765	844	0.0	54.27	+	.	GRA_OG0031220	substring_1
GRA_SL+_TRINITY_DN35310_c0_g1_i2	+	fine	5766	5975	210	100.0	50.0	+	.	GRA_OG0031220	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	fine	7712	7880	169	97.04	66.86	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	intron	7881	8154	274	0.0	52.55	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	fine	8155	8249	95	100.0	53.68	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	intron	8250	8497	248	0.0	58.06	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	fine	8498	8626	129	100.0	63.57	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	intron	8627	9266	640	0.0	52.97	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	fine	9267	9358	92	98.91	60.87	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	intron	9359	10097	739	0.0	47.9	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	fine	10098	10169	72	100.0	69.44	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	intron	10170	10589	420	0.0	64.05	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	fine	10590	10636	47	100.0	78.72	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	intron	10637	11036	400	0.0	52.75	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	fine	11037	11129	93	100.0	60.22	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	intron	11130	11309	180	0.0	71.67	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	fine	11310	11382	73	98.63	71.23	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	intron	11383	13068	1686	0.0	50.65	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN45369_c0_g1_i3	+	fine	13069	13497	429	97.44	64.1	+	.	GRA_OG0031225	substring_1
GRA_SL+_TRINITY_DN39383_c0_g3_i1	+	fine	4365	4479	115	96.52	58.26	+	.	GRA_OG0031226	substring_1
GRA_SL+_TRINITY_DN39383_c0_g3_i1	+	intron	4480	4937	458	0.0	53.06	+	.	GRA_OG0031226	substring_1
GRA_SL+_TRINITY_DN39383_c0_g3_i1	+	fine	4938	5019	82	98.78	53.66	+	.	GRA_OG0031226	substring_1
GRA_SL+_TRINITY_DN39383_c0_g3_i1	+	intron	5020	5571	552	0.0	53.8	+	.	GRA_OG0031226	substring_1
GRA_SL+_TRINITY_DN39383_c0_g3_i1	+	fine	5572	5664	93	97.85	61.29	+	.	GRA_OG0031226	substring_1
GRA_SL+_TRINITY_DN39383_c0_g3_i1	+	intron	5665	6710	1046	0.0	49.62	+	.	GRA_OG0031226	substring_1
GRA_SL+_TRINITY_DN39383_c0_g3_i1	+	fine	6711	6777	67	100.0	67.16	+	.	GRA_OG0031226	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	7412	7474	63	100.0	80.95	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	7475	7946	472	0.0	57.84	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	7947	8064	118	100.0	74.58	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	8065	8613	549	0.0	53.92	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	8614	8776	163	100.0	76.69	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	8777	8953	177	0.0	63.28	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	8954	9080	127	96.85	72.44	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	9081	9360	280	0.0	58.93	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	9361	9448	88	100.0	62.5	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	9449	10503	1055	0.0	50.33	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	10504	10634	131	98.47	70.23	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	10635	10928	294	0.0	67.69	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	10929	11034	106	100.0	73.58	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	11035	11132	98	0.0	62.24	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	11133	11213	81	100.0	69.14	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	11214	11859	646	0.0	60.53	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	11860	11970	111	100.0	69.37	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	11971	12554	584	0.0	50.17	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	12555	12637	83	98.8	71.08	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	12638	13145	508	0.0	69.88	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	13146	13257	112	100.0	66.07	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	13258	13592	335	0.0	56.12	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	13593	13702	110	100.0	67.27	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	13703	13940	238	0.0	59.66	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	13941	14127	187	100.0	63.1	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	14128	15801	1674	0.0	57.95	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	15802	15871	70	100.0	68.57	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	15872	16105	234	0.0	54.7	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	16106	16220	115	98.26	59.13	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	16221	16272	52	0.0	80.77	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	16273	16349	77	98.7	67.53	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	16350	16769	420	0.0	60.0	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	16770	16877	108	98.15	70.37	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	16878	17205	328	0.0	55.49	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	fine	17206	17384	179	100.0	63.13	+	.	GRA_OG0031227	substring_1
GRA_SL+_TRINITY_DN45652_c2_g4_i5	+	intron	17385	18450	1066	0.0	56.38	+	.	GRA_OG0031227	substring_1
